date;signal;ticker;num;price
2015.10.09;SELL;AAPL;99;112.12
2013.09.25;BUY;AAPL;149;68.79
2015.11.06;BUY;AAPL;93;121.06
2016.12.20;SELL;AAPL;95;116.95
2015.04.24;SELL;AAPL;83;130.28
2014.05.15;SELL;AAPL;127;84.12
2013.10.14;BUY;AAPL;145;70.86
2013.09.30;BUY;AAPL;151;68.11
2013.07.03;BUY;AAPL;168;60.11
2016.02.17;BUY;AAPL;108;98.12
2014.03.05;BUY;AAPL;137;76.05
2016.11.30;SELL;AAPL;99;110.52
2016.11.14;SELL;AAPL;105;105.71
2014.09.08;BUY;AAPL;111;98.36
2015.11.30;BUY;AAPL;92;118.3
2015.05.11;BUY;AAPL;85;126.32
2013.06.24;BUY;AAPL;173;57.51
2014.05.14;BUY;AAPL;125;84.84
2013.07.23;BUY;AAPL;169;59.86
2015.12.21;SELL;AAPL;99;107.33
2013.07.31;SELL;AAPL;158;64.65
2014.10.27;SELL;AAPL;105;105.11
2013.05.15;BUY;AAPL;164;61.26
2013.05.10;SELL;AAPL;154;64.71
2016.06.17;BUY;AAPL;111;95.33
2014.11.11;SELL;AAPL;99;109.7
2014.04.01;SELL;AAPL;135;77.38
2016.11.25;BUY;AAPL;99;111.79
2014.11.28;BUY;AAPL;92;118.93
2015.12.03;BUY;AAPL;95;115.2
2014.01.23;BUY;AAPL;135;79.45
2013.08.08;BUY;AAPL;154;65.86
2016.04.13;BUY;AAPL;98;112.04
2013.12.16;SELL;AAPL;132;79.64
2013.04.01;SELL;AAPL;168;61.27
2014.01.27;BUY;AAPL;134;78.64
2013.10.18;BUY;AAPL;142;72.7
2015.02.05;SELL;AAPL;91;119.94
2014.04.29;BUY;AAPL;125;84.62
2016.06.27;SELL;AAPL;115;92.04
2013.04.05;BUY;AAPL;171;60.46
2014.10.06;BUY;AAPL;110;99.62
2013.06.21;BUY;AAPL;169;59.07
2014.05.01;BUY;AAPL;125;84.5
2016.04.22;BUY;AAPL;101;105.68
2016.02.04;BUY;AAPL;111;96.6
2015.08.10;SELL;AAPL;91;119.72
2014.02.03;SELL;AAPL;146;71.65
2015.11.25;BUY;AAPL;93;118.03
2014.09.04;BUY;AAPL;111;98.12
2016.06.29;SELL;AAPL;111;94.4
2013.06.28;BUY;AAPL;177;56.65
2016.01.14;SELL;AAPL;108;99.52
